"","key","Key_RX_ProgID","Curr_RX_ProgID","RX_ProgName","RX_ProgDescription","DatabaseName","Org","ProgID","ProgName","ProgDescription","Lat","Long","Pop"
"54","standards","554",NA,"Engineering Design and Construction Standards Development","Manage the development of standard details and city specifications","RX_BransonMO","Branson, MO",182,"Residential Subdivisions Field Services & Inspections","Daily or weekly visits to review construction of residential subdivisions to ensure that infrastructure is built to city standards and specifications.","36.644180","-93.232727",11430
"75","standards","554",NA,"Engineering Design and Construction Standards Development","Manage the development of standard details and city specifications","RX_BransonMO","Branson, MO",339,"Server Backup Administration","Configure, manage, and test enterprise backups and replication. Monitor backup jobs and maintain backup policies and standards","36.644180","-93.232727",11430
"232","standards","554",NA,"Engineering Design and Construction Standards Development","Manage the development of standard details and city specifications","RX_AlexandriaVA","City of Alexandria, VA",5072,"Human Resources & Recruitment","Human Resources and Recruitment Section partners with the Department to provide professional HR services including overseeing recruitment, hiring, administration of employee benefits, compliance and policy review to ensure equitable standards applied, and review of trends in the industry to identify possible tactics for moving the Department forward.","38.8184","-77.0861",160035
"131","standards","554",NA,"Engineering Design and Construction Standards Development","Manage the development of standard details and city specifications","RX_AlexandriaVA","City of Alexandria, VA",1181,"Public Safety Center Facility Support","Maintains the physical structure, infrastructure, and internal fittings of the entire public safety center to ensure safety and accreditation standards are met.","38.8184","-77.0861",160035
"151","standards","554",NA,"Engineering Design and Construction Standards Development","Manage the development of standard details and city specifications","RX_AlexandriaVA","City of Alexandria, VA",1184,"Leadership and Management","Leadership and administrative services not otherwise attributed to projects within the department: Develops and executes the budget; ensures responsible spending and adherence to City purchasing policies; attracts, retains and grows qualified staff; develops and maintains compliance for safety standards; and ensures that the community is informed and educated about the Department's programs, projects and City services..","38.8184","-77.0861",160035
"192","standards","554",NA,"Engineering Design and Construction Standards Development","Manage the development of standard details and city specifications","RX_AlexandriaVA","City of Alexandria, VA",1246,"Inspections of Existing Structures","Provides proactive and reactive inspection of existing buildings and structures to ensure their compliance with State and City property maintenance codes and standards.","38.8184","-77.0861",160035
"251","standards","554",NA,"Engineering Design and Construction Standards Development","Manage the development of standard details and city specifications","RX_AlexandriaVA","City of Alexandria, VA",5137,"Eligibility Determination (Workforce Development Center)","Process federal and state public benefit programs applications to determine eligibility and reevaluation for continues eligibility while meeting mandated standards and timeliness. Provide access  to childcare for TANF families.","38.8184","-77.0861",160035
"111","standards","554",NA,"Engineering Design and Construction Standards Development","Manage the development of standard details and city specifications","RX_AlexandriaVA","City of Alexandria, VA",1135,"Planning, Accreditation and Directive Section (PAD)","The Planning, Accreditation and Directive Section (PAD) has the responsibility of assisting the Chief of Police and the command staff in researching and formulating Department policies and procedures and implementing them by means of the written directives system. PAD oversees forms design and control, performs duties necessary to ensure compliance with accreditation standards, and serves as the Department's accreditation manager. PAD also provides planning and research assistance to all components of the Department.","38.8184","-77.0861",160035
"2110","standards","554",NA,"Engineering Design and Construction Standards Development","Manage the development of standard details and city specifications","RX_AlexandriaVA","City of Alexandria, VA",1296,"CALEA Accreditation","Ensuring the Department is in compliance with a set of standards developed by the Commission on Accreditation for Law Enforcement Agencies","38.8184","-77.0861",160035
"1710","standards","554",NA,"Engineering Design and Construction Standards Development","Manage the development of standard details and city specifications","RX_AlexandriaVA","City of Alexandria, VA",1200,"Bridge Inspections & Maintenance","Inspects and maintains City bridges, ensuring they meet state and federal safety standards.","38.8184","-77.0861",160035
"41","standards","554",NA,"Engineering Design and Construction Standards Development","Manage the development of standard details and city specifications","RX_BeniciaCA","City of Benicia",3362,"Laboratory Program","Performs various physical, chemical and biological testing to verify compliance with water quality standards/requirements for the Water Treatment and Wastewater Treatment Plants.","38.0494","-122.1586",26997
"36","standards","554",NA,"Engineering Design and Construction Standards Development","Manage the development of standard details and city specifications","RX_BeniciaCA","City of Benicia",3206,"Residential and Multi Family Plan Review and Inspections","The Building Division checks all plans for new construction, additions, maintenance, repairs, remodels, and upgrades as part of residential /multi-family residential building permits. Residential and Multi-Family Residential building codes are different from the Commercial codes. This activity includes plans examining, compliance with building codes, regulations, standards, enforcement, and interpretation. This activity also includes inspections, which can include Stop Work orders, Code Enforcement and T24 Accessibility for some multi family.","38.0494","-122.1586",26997
"342","standards","554",NA,"Engineering Design and Construction Standards Development","Manage the development of standard details and city specifications","RX_BeniciaCA","City of Benicia",3027,"Engineering Inspections - Public Works Permits","Inspect contractor work for minimum compliance with City standards","38.0494","-122.1586",26997
"33","standards","554",NA,"Engineering Design and Construction Standards Development","Manage the development of standard details and city specifications","RX_BeniciaCA","City of Benicia",3025,"Engineering Design & Construction Standards","Professional Engineering by Division of Engineering Staff","38.0494","-122.1586",26997
"38","standards","554",NA,"Engineering Design and Construction Standards Development","Manage the development of standard details and city specifications","RX_BeniciaCA","City of Benicia",3214,"Building code administration and amendments","The Building Division is responsible for a wide range of functions related to community safety, change, enhancement and preservation. The Building Division reviews all development applications to ensure consistency with community standards and protection of public safety and health; and ensures that projects are designed and constructed to meet community needs and are in conformance with all applicable regulations, codes, standards, and city ordinances. The Building Division strives to provide vision, leadership within the context of innovative, high quality, equitable, and efficient services which encompass and reflect community values. The Building Division explains and interprets building codes to residents, property owners, contractors, and other staff. Reviews projects for conformance to the building code, standards, regulations, and  updates the building code on 3-year cycle to comply with state law. Enforces all parts of the California Code of Regulations.","38.0494","-122.1586",26997
"35","standards","554",NA,"Engineering Design and Construction Standards Development","Manage the development of standard details and city specifications","RX_BeniciaCA","City of Benicia",3033,"Engineering Services - Non-CIP Projects","General civil engineering services related to private development, mapping and easement preparation, public roadway repairs, traffic analysis, drainage studies and related drainage appurtenance repairs, utility installations, signing and striping repairs or upgrades, intra and interagency coordination, design standards update/revisions","38.0494","-122.1586",26997
"37","standards","554",NA,"Engineering Design and Construction Standards Development","Manage the development of standard details and city specifications","RX_BeniciaCA","City of Benicia",3207,"Commercial and Industrial Plan Review and Inspections","Plan checks and inspections of commercial and industrial building additions, remodels, new construction, tenant improvements, and maintenance. California Access Special program (CASp). Review for compliance with state codes, regulations, and standards, while providing community outreach of T24/Accessibility. This will also includes Stop Work orders, Code Enforcement, annual building permits  with plan review and inspections.","38.0494","-122.1586",26997
"39","standards","554",NA,"Engineering Design and Construction Standards Development","Manage the development of standard details and city specifications","RX_BeniciaCA","City of Benicia",3226,"Floodplain management","Management and administration of a community program of preventive and corrective measures to reduce the risk of current and future flooding resulting in a more resilient community. FEMA’s Floodplain Management Branch provides tools and resources to help communities navigate NFIP requirements and implement higher standards of floodplain management.  A certified floodplain administrator is required by federal law (Governance).  Review projects in Capital Improvement Program(CIP), FEMA documentation, floodway mitigation, public outreach, research parcels for community, along with community rating system for FEMA. Governance - required to remain eligible for Flood Insurance program.","38.0494","-122.1586",26997
"32","standards","554",NA,"Engineering Design and Construction Standards Development","Manage the development of standard details and city specifications","RX_BeniciaCA","City of Benicia",2826,"Medical Exams","Develop and oversee medical standards program, contract administration including contract negotiation/renewal/approval, review invoices for compliance, schedule physicals for pre-employment, psychological exams, fitness for duty (as required), coordinate additional follow-up of conditional qualification and disqualification, maintain confidential records.  Train all new covered employees and supervisors, re-train on an annual basis, coordinate administration of testing, coordinate notification of results, coordinate action/re-testing/treatment as indicated; maintain confidential records.","38.0494","-122.1586",26997
"40","standards","554",NA,"Engineering Design and Construction Standards Development","Manage the development of standard details and city specifications","RX_BeniciaCA","City of Benicia",3235,"Certified Access Specialist program (CASp)","The Certified Access Specialist (CASp) program was created by Senate Bill 262 (Chapter 872, 2003) and is designed to meet the public's need for experienced, trained, and tested individuals who can inspect buildings and sites for compliance with applicable state and federal construction-related accessibility standards. The CASp program is governed by Title 21 Voluntary Certified Access Specialist Program Regulations.","38.0494","-122.1586",26997
"5","standards","554",NA,"Engineering Design and Construction Standards Development","Manage the development of standard details and city specifications","RX_2018ColumbiaSC_copy1","City of Columbia, SC (NEW)",958,"OFFICE OF PROFESSIONAL STANDARDS","Management and supervisory review of organizational integrity via internal systems to monitor and maintain objectivity, fairness, and justice.","34.0366","-80.9043",131114
"14","standards","554",NA,"Engineering Design and Construction Standards Development","Manage the development of standard details and city specifications","RX_2018ColumbiaSC_copy1","City of Columbia, SC (NEW)",398,"Accreditation","Maintain CALEA National Compliance Standards","34.0366","-80.9043",131114
"310","standards","554",NA,"Engineering Design and Construction Standards Development","Manage the development of standard details and city specifications","RX_2018ColumbiaSC_copy1","City of Columbia, SC (NEW)",585,"Professional Services","Professional Services encompasses: recruiting, hiring, retention, promotional standards, promotional processes, validation standards, disciplinary processes, employee relations, volunteer relations, policy development, compliance, departmental record keeping,","34.0366","-80.9043",131114
"9","standards","554",NA,"Engineering Design and Construction Standards Development","Manage the development of standard details and city specifications","RX_2018ColumbiaSC_copy1","City of Columbia, SC (NEW)",992,"Grant Management","Management of all Police Department awarded grants according to stated conditions and financial standards.","34.0366","-80.9043",131114
"411","standards","554",NA,"Engineering Design and Construction Standards Development","Manage the development of standard details and city specifications","RX_2018ColumbiaSC_copy1","City of Columbia, SC (NEW)",836,"Long Range Planning - Statistics/Measurements/Data Calculation and Analysis","Coordination of measurements, standards and data for use within planning and other departments within the city","34.0366","-80.9043",131114
"71","standards","554",NA,"Engineering Design and Construction Standards Development","Manage the development of standard details and city specifications","RX_2018ColumbiaSC_copy1","City of Columbia, SC (NEW)",963,"Accreditation and Compliance","Ensure on-going compliance with department written directives, state laws and accreditation standards.","34.0366","-80.9043",131114
"8","standards","554",NA,"Engineering Design and Construction Standards Development","Manage the development of standard details and city specifications","RX_2018ColumbiaSC_copy1","City of Columbia, SC (NEW)",967,"Staff Inspections","Systematic evaluation of Department functions and standards","34.0366","-80.9043",131114
"6","standards","554",NA,"Engineering Design and Construction Standards Development","Manage the development of standard details and city specifications","RX_2018ColumbiaSC_copy1","City of Columbia, SC (NEW)",959,"Citizens Advisory Council","Advisory committee utilized by the department for independent review of standards","34.0366","-80.9043",131114
"22","standards","554",NA,"Engineering Design and Construction Standards Development","Manage the development of standard details and city specifications","RX_2018ColumbiaSC_copy1","City of Columbia, SC (NEW)",583,"Professional Standards Program","(Still in development)","34.0366","-80.9043",131114
"100","standards","554",NA,"Engineering Design and Construction Standards Development","Manage the development of standard details and city specifications","RX_DuluthMN","City of Duluth",431,"Federal programs and implementation","Consolidated Plan / Action Plan. Data gathering, input, and analysis. CDBG. HOME . ESG. Wage standards compliance. Section 3/MBWBE/Section 504","46.7797","-92.1334",86066
"94","standards","554",NA,"Engineering Design and Construction Standards Development","Manage the development of standard details and city specifications","RX_DuluthMN","City of Duluth",281,"Worker's Compensation","Administers the Worker's Compensation Program, includes filing first report of injury, follow up on return to work and physician updates.  Includes reporting for training related to the prevention of accidents.  Reponsible for compliances with DOL standards with reporting","46.7797","-92.1334",86066
"106","standards","554",NA,"Engineering Design and Construction Standards Development","Manage the development of standard details and city specifications","RX_DuluthMN","City of Duluth",454,"Professional Standards","The internal and external need to hold our employees and department accountable through national best standards.  Providing accurate information on complaint investigations, use of force by officers and all other areas that are mandated by POST or simply needed by our organization.  This area also encompasses communication internally and externally with the use of social media, press releases and other available sources to stay on top of the needs of our community and shape the message going out to our employees and community.","46.7797","-92.1334",86066
"103","standards","554",NA,"Engineering Design and Construction Standards Development","Manage the development of standard details and city specifications","RX_DuluthMN","City of Duluth",452,"K-9","The K-9 program is an important tool and community resource. Our K-9 teams are responsible for tracking, building searches, open area searches, criminal apprehension, evidence searches, narcotic and explosive detection.  Our K-9 teams train to national best practice standards.","46.7797","-92.1334",86066
"97","standards","554",NA,"Engineering Design and Construction Standards Development","Manage the development of standard details and city specifications","RX_DuluthMN","City of Duluth",309,"Technology Specifications, Standards, and Policy Development","Development and implementation of technology standards and policies","46.7797","-92.1334",86066
"115","standards","554",NA,"Engineering Design and Construction Standards Development","Manage the development of standard details and city specifications","RX_FortCollinsCO","City of Fort Collins",769,"Utilities: Light & Power - Core Operations","Funding this offer will allow the ongoing operation of the Administration and General Operations (A&G), Electric Standards Engineering, Electric System Substations and Control, Smart Grid and System Operations, Electric Field Services, and Electric Systems Engineering departments for the City’s Light & Power (L&P) electric utility.","40.5487","-105.0656",165080
"109","standards","554",NA,"Engineering Design and Construction Standards Development","Manage the development of standard details and city specifications","RX_FortCollinsCO","City of Fort Collins",703,"ENHANCEMENT: South Timberline Improvements - Stetson Creek Drive to Trilby Road","Funding this Offer will complete the construction of the 4-lane arterial standards of Timberline Road from Stetson Creek Drive to Trilby Road. This project includes the following elements: (1) Completing the 4-lane arterial standards for Timberline Road, (2) Intersection and capacity improvements, (3) Completing gaps in bicycle and pedestrian facilities, (4) Constructing raised medians in strategic locations to reduce the number of crashes and, (5) landscaping improvements.","40.5487","-105.0656",165080
"148","standards","554",NA,"Engineering Design and Construction Standards Development","Manage the development of standard details and city specifications","RX_FortCollinsCO","City of Fort Collins",1113,"ENHANCEMENT: Prospect Road Improvements - Sharp Point Drive to I-25 Frontage Road","Funding this Offer will complete the construction of the 4-lane arterial standards of Prospect Road from Sharp Point Drive to the I-25 Frontage Road. This high-priority capital improvement project would complete an important gap in the transportation network, and have significant connectivity and mobility benefits for pedestrians, bicycles and vehicles.","40.5487","-105.0656",165080
"127","standards","554",NA,"Engineering Design and Construction Standards Development","Manage the development of standard details and city specifications","RX_FortCollinsCO","City of Fort Collins",878,"Capital Replacement - Utilities: Stormwater - Collection System Replacement Small Capital Projects","Funding this Offer will provide for design and construction of smaller high priority stormwater improvement projects. Each year, the Stormwater Utility designs and constructs storm sewer lines and infrastructure replacement projects to correct deficiencies in the system, upgrade facilities, expand capacity and rehabilitate under served areas.  Replacing these facilities brings them up to current standards, lowers long term maintenance needs, and protects habitat and public and private property.","40.5487","-105.0656",165080
"112","standards","554",NA,"Engineering Design and Construction Standards Development","Manage the development of standard details and city specifications","RX_FortCollinsCO","City of Fort Collins",704,"KFCG ENHANCEMENT: South Timberline Improvements - Stetson Creek Drive to Trilby Road","KFCG portion: Funding this Offer will complete the construction of the 4-lane arterial standards of Timberline Road from Stetson Creek Drive to Trilby Road. This project includes the following elements: (1) Completing the 4-lane arterial standards for Timberline Road, (2) Intersection and capacity improvements, (3) Completing gaps in bicycle and pedestrian facilities, (4) Constructing raised medians in strategic locations to reduce the number of crashes and, (5) landscaping improvements.","40.5487","-105.0656",165080
"118","standards","554",NA,"Engineering Design and Construction Standards Development","Manage the development of standard details and city specifications","RX_FortCollinsCO","City of Fort Collins",815,"Capital Replacement - Utilities: Maple St. and Pearl St. Wastewater Main","Funding this Offer will replace wastewater infrastructure in Maple and Pearl Streets. The project will replace aging wastewater infrastructure with new infrastructure that meets current standards.  The Wastewater Collection Master Plan identified this project as a high priority based on the pipe condition and serviceability.","40.5487","-105.0656",165080
"139","standards","554",NA,"Engineering Design and Construction Standards Development","Manage the development of standard details and city specifications","RX_FortCollinsCO","City of Fort Collins",1030,"KFCG ENHANCEMENT: 1.0 FTE Contractual - Transit Planner and Bus Stop Improvements/Upgrades","Funding this offer will provide the necessary resources to continue upgrading bus stops to be accessible and meet applicable federal regulations and design standards. Transfort estimates an average of 25 bus stops to be upgraded each budget year.","40.5487","-105.0656",165080
